UniProtID,degree,betweenness_centrality,clustering_coefficent
O75165,15,2.6603322079152915e-05,0.19047619047619047
O75167,6,7.6227759278188595e-06,0.5333333333333333
Q9H211,51,6.722520283797868e-05,0.20392156862745098
O75161,4,3.119442594364416e-07,0.16666666666666666
Q96G23,26,0.000516074902761226,0.006153846153846154
Q7L3V2,1,0.0,0.0
Q96G21,4,4.714133991103988e-06,0.0
P06865,27,2.8158277568517077e-05,0.13675213675213677
Q96G27,7,2.4892960765988042e-06,0.0
Q96G26,1,0.0,0.0
Q96G25,47,0.00011203495727226362,0.33024976873265494
P11597,4,1.6177872743119542e-06,0.0
Q9BWU1,53,0.00013769226758590558,0.22568940493468795
Q8TEH3,1,0.0,0.0
Q13233,139,0.00026231135980344213,0.1054113231154207
Q68DE3,1,0.0,0.0
Q6P0M4,2,1.0425051224555105e-06,0.0
O60383,46,0.00012554970989043284,0.024154589371980676
O60381,22,0.00014030495841599476,0.09956709956709957
Q9C0H9,8,1.5272897450312817e-06,0.2857142857142857
P08123,32,0.0002430741938814788,0.05846774193548387
Q9NXR1,8,1.384120437810779e-06,0.21428571428571427
Q96AH0,4,6.937660219346979e-06,0.5
P10915,8,9.93974643177012e-05,0.21428571428571427
P10914,34,1.7899924323596622e-05,0.20499108734402852
Q15760,1,0.0,0.0
Q07960,21,6.496114718075867e-05,0.06190476190476191
P10911,11,5.431146651839504e-06,0.10909090909090909
Q6UW02,1,0.0,0.0
Q6UW01,3,0.0002698199967025363,0.0
P10912,39,0.000170159615461973,0.11740890688259109
Q05DB8,1,0.0,0.0
A4D0S4,1,0.0,0.0
Q15768,7,0.0001369850767212255,0.0
Q8WUF8,1,0.0,0.0
Q6KB66,3,9.751598556803803e-08,0.0
Q8WUF5,10,2.4648602908278223e-06,0.4222222222222222
Q96BT3,10,2.0630579081526567e-05,0.2222222222222222
Q02297,6,1.125132362109203e-06,0.4
P48147,11,3.721119397638618e-05,0.12727272727272726
P48146,2,4.5836305626768626e-09,0.0
P48145,2,4.5836305626768626e-09,0.0
Q99519,11,0.0001416503435300113,0.16363636363636364
O15417,4,1.5117258236164389e-06,0.3333333333333333
Q9BQG0,100,0.00024547005530032993,0.2309090909090909
Q9BQG1,4,2.495153239339612e-06,0.0
Q4VC31,2,2.8470756083219923e-07,0.0
