UniProtID,function,process,component
P01033,GO:0002020///GO:0004857///GO:0005125///GO:0005515///GO:0008083///GO:0008191///GO:0030414///GO:0046872,GO:0001775///GO:0002576///GO:0007568///GO:0008284///GO:0009725///GO:0010033///GO:0010466///GO:0010951///GO:0022617///GO:0034097///GO:0042060///GO:0043066///GO:0043086///GO:0043434///GO:0051045///GO:0051216///GO:1901164///GO:1905049///GO:2001044,GO:0005576///GO:0005578///GO:0005604///GO:0005615///GO:0031012///GO:0031093///GO:0070062
P03956,GO:0004175///GO:0004222///GO:0004252///GO:0005509///GO:0008233///GO:0008237///GO:0008270///GO:0016787///GO:0046872,GO:0006508///GO:0016032///GO:0022617///GO:0030574///GO:0032461///GO:0044267///GO:0050900,GO:0005576///GO:0005578///GO:0031012
P08253,GO:0004222///GO:0004252///GO:0005515///GO:0008233///GO:0008237///GO:0008270///GO:0016787///GO:0046872,GO:0001525///GO:0001666///GO:0001955///GO:0001957///GO:0006508///GO:0007566///GO:0022617///GO:0030574///GO:0035987///GO:0044267///GO:0045089///GO:0048013///GO:0048705///GO:0060325///GO:0060346///GO:0071230///GO:1904707,GO:0005576///GO:0005578///GO:0005615///GO:0005634///GO:0005737///GO:0005739///GO:0005886///GO:0016020///GO:0030017///GO:0031012
P08254,GO:0004175///GO:0004222///GO:0004252///GO:0005509///GO:0005515///GO:0008233///GO:0008237///GO:0008270///GO:0016787///GO:0046872,GO:0006508///GO:0010727///GO:0022617///GO:0030574///GO:0032461///GO:0071732///GO:1903209,GO:0005576///GO:0005578///GO:0005615///GO:0031012
P14780,GO:0004175///GO:0004222///GO:0004252///GO:0005515///GO:0005518///GO:0008233///GO:0008237///GO:0008270///GO:0016787///GO:0042802///GO:0046872,GO:0001501///GO:0001503///GO:0001934///GO:0006508///GO:0007566///GO:0022617///GO:0030198///GO:0030225///GO:0030335///GO:0030574///GO:0035987///GO:0043065///GO:0043066///GO:0043312///GO:0043388///GO:0045742///GO:0048013///GO:0050900///GO:0051549///GO:0090200///GO:1900122///GO:1904707///GO:2001243///GO:2001258///GO:2001268,GO:0005576///GO:0005578///GO:0005615///GO:0031012///GO:0070062///GO:1904724///GO:1904813
P0DML2,GO:0005179///GO:0046872,GO:0060397,GO:0005576///GO:0005783///GO:0031904///GO:0031982
P0DML3,GO:0005179///GO:0046872,,GO:0005576///GO:0005783///GO:0031982
Q9Y4K0,GO:0003682///GO:0003714///GO:0004720///GO:0005044///GO:0005507///GO:0005515///GO:0009055///GO:0016491///GO:0016641///GO:0035064///GO:0046872///GO:0070492,GO:0001666///GO:0001837///GO:0001935///GO:0002040///GO:0006351///GO:0006355///GO:0006464///GO:0006898///GO:0007155///GO:0007568///GO:0016569///GO:0016570///GO:0018277///GO:0030199///GO:0032332///GO:0043542///GO:0045892///GO:0046688///GO:0055114,GO:0005576///GO:0005578///GO:0005604///GO:0005615///GO:0005634///GO:0005654///GO:0005694///GO:0016020///GO:0031012
P25067,GO:0005201///GO:0030674,GO:0001525///GO:0007155///GO:0016337///GO:0030198///GO:0030574///GO:0048593///GO:0050673,GO:0005576///GO:0005578///GO:0005581///GO:0005604///GO:0005788///GO:0031012
P02452,GO:0005201///GO:0005515///GO:0042802///GO:0046872///GO:0048407,GO:0001501///GO:0001503///GO:0001568///GO:0001649///GO:0001957///GO:0001958///GO:0007584///GO:0007596///GO:0007601///GO:0007605///GO:0009612///GO:0010718///GO:0010812///GO:0015031///GO:0030168///GO:0030198///GO:0030199///GO:0030335///GO:0030574///GO:0031667///GO:0031960///GO:0032355///GO:0032964///GO:0034504///GO:0034505///GO:0038063///GO:0042060///GO:0042493///GO:0042542///GO:0043434///GO:0043588///GO:0043589///GO:0044344///GO:0044691///GO:0045893///GO:0048545///GO:0048705///GO:0048706///GO:0050776///GO:0050900///GO:0051591///GO:0055093///GO:0060325///GO:0060346///GO:0060351///GO:0070208///GO:0071230///GO:0071260///GO:0071300///GO:0071306///GO:0071356///GO:0071364///GO:0071560///GO:0090263///GO:1902617///GO:1902618,GO:0005576///GO:0005578///GO:0005581///GO:0005584///GO:0005615///GO:0005737///GO:0005783///GO:0005788///GO:0005794///GO:0030141///GO:0031012
