UniProtID,degree,betweenness_centrality,clustering_coefficent
Q9H061,8,6.483467684447597e-07,0.14285714285714285
O15254,2,1.347934935068006e-06,0.0
O15255,3,6.327633413960586e-07,0.0
Q9BZL1,11,5.183418631728919e-06,0.05454545454545454
Q86WA8,6,2.8405630883668667e-05,0.13333333333333333
O14775,30,0.0004605862713623213,0.03218390804597701
O15258,8,1.0164655643268587e-05,0.07142857142857142
O15259,20,2.9419770114010567e-05,0.05789473684210526
Q86XA0,25,9.85346154358489e-06,0.06
P29401,39,4.75935454277727e-05,0.09581646423751687
P29400,16,8.956849890958475e-05,0.05
Q9H0S4,21,3.135539270516371e-05,0.2
P39023,114,0.0001481609656550734,0.37090513895357863
P29122,5,1.0241422425740552e-05,0.0
H0YL14,1,0.0,0.0
Q9H840,18,6.862965962068148e-06,0.20915032679738563
Q96CS2,20,3.267148119915607e-05,0.1736842105263158
Q96CS3,71,0.0003699335654451702,0.07927565392354124
Q96CS4,5,2.4789648144002497e-07,0.1
Q5W111,1,0.0,0.0
Q96CS7,8,2.034303975500465e-05,0.07142857142857142
Q9P215,5,8.4071399723077e-06,0.2
P62807,44,8.615888481294393e-05,0.08139534883720931
Q9UK11,5,3.429265870189133e-06,0.1
P62805,246,0.0019732732737224533,0.07565953210552513
Q9UK17,29,0.0001596401003318848,0.03201970443349754
Q9BVC3,4,1.6744776275731716e-09,0.8333333333333334
Q9P212,7,1.9200513279974366e-06,0.0
Q92833,17,2.346204220121226e-05,0.3897058823529412
Q92832,15,1.5343547775138724e-05,0.02857142857142857
Q92831,151,0.0007023578244715134,0.0752317880794702
Q92830,115,0.0005096513540774433,0.11792524790236461
Q92837,14,1.3176287074574767e-05,0.02197802197802198
Q9H3M9,6,8.270421001479551e-08,0.4666666666666667
Q92835,45,7.405118410926752e-05,0.18181818181818182
P21453,12,0.0002738982162443028,0.06060606060606061
Q969K7,6,2.0540320945793037e-05,0.13333333333333333
Q92839,4,3.071578904050348e-07,0.0
Q9H3M7,13,2.2370351469133868e-05,0.1282051282051282
Q9H3M0,5,7.40600145046611e-06,0.0
Q969K3,15,1.722400628528245e-05,0.12380952380952381
Q9BVC4,19,5.5436987291806444e-05,0.21052631578947367
Q9Y6E2,21,3.743961840974909e-05,0.20952380952380953
Q8TAL5,1,0.0,0.0
Q9Y6E0,191,0.0005341593548240279,0.11082942959492974
Q9Y6E7,6,3.34207837560457e-06,0.26666666666666666
Q9NZL9,29,7.343307018370971e-05,0.16995073891625614
Q9BZG9,1,0.0,0.0
Q9Y597,14,4.7348062650922415e-05,0.16483516483516483
Q9BVC6,3,1.602974259496468e-06,0.0
P01236,3,5.610175440115544e-07,0.3333333333333333
P19099,3,0.0001525063988864818,0.3333333333333333
Q09161,79,0.00018854424006156835,0.15092502434274585
Q09160,28,1.5501440760615607e-05,0.08465608465608465
P09001,26,2.9996963030062005e-05,0.3476923076923077
P53708,3,0.0001525705180864159,0.0
P04035,12,9.539103188025826e-05,0.21212121212121213
P60520,515,0.004806471911848889,0.0479845869064259
Q9UKZ1,6,1.925682703212237e-05,0.2
P53701,1,0.0,0.0
Q9UKZ4,2,1.503105632053707e-08,0.0
Q9H967,2,0.0,1.0
O00461,3,1.6632627233528678e-06,0.0
Q14563,2,5.387569635102122e-06,0.0
Q14562,30,8.752536898616397e-05,0.11494252873563218
Q8WYB5,6,1.7967041042141295e-06,0.06666666666666667
Q14566,74,0.00025959277843549597,0.1643835616438356
Q14565,6,3.295358359903453e-07,0.4
Q9NY46,4,9.202922429628386e-07,0.0
Q6P1A2,1,0.0,0.0
Q9NRH2,7,4.848304421998801e-06,0.23809523809523808
Q9NRH3,9,1.3585038640121323e-05,0.05555555555555555
P58397,2,5.91129925162569e-06,0.0
Q9UHF0,9,9.128428030971662e-05,0.027777777777777776
Q9UHF3,1,0.0,0.0
Q86VP6,599,0.006174174844590067,0.05376854400589611
P41218,8,3.968795614234685e-06,0.10714285714285714
P41219,17,0.00016168132152198864,0.19117647058823528
